time,open,high,low,close
2025-08-16 16:00:00,117676.7,117817.65,117676.7,117747.65
2025-08-16 17:00:00,117747.64,117747.65,117651.72,117693.0
2025-08-16 18:00:00,117692.99,117757.06,117629.94,117685.79
2025-08-16 19:00:00,117685.78,117771.4,117652.92,117672.12
2025-08-16 20:00:00,117672.13,117713.51,117522.01,117655.41
2025-08-16 21:00:00,117655.41,117655.42,117433.33,117452.21
2025-08-16 22:00:00,117452.21,117552.0,117219.34,117460.56
2025-08-16 23:00:00,117460.57,117475.07,117278.23,117380.66
2025-08-17 00:00:00,117380.66,117419.45,117255.18,117255.19
2025-08-17 01:00:00,117255.18,117491.44,117172.21,117439.97
2025-08-17 02:00:00,117439.97,117624.55,117381.39,117606.0
2025-08-17 03:00:00,117606.0,117771.37,117505.93,117684.95
2025-08-17 04:00:00,117684.96,118187.28,117684.95,118076.11
2025-08-17 05:00:00,118076.12,118230.82,118000.0,118000.01
2025-08-17 06:00:00,118000.0,118118.0,117905.37,117923.99
2025-08-17 07:00:00,117924.0,118030.15,117843.74,118005.98
2025-08-17 08:00:00,118005.98,118399.99,117922.0,118366.06
2025-08-17 09:00:00,118366.05,118484.0,118235.0,118345.99
2025-08-17 10:00:00,118345.99,118393.35,118190.0,118393.34
2025-08-17 11:00:00,118393.34,118393.35,118270.8,118308.01
2025-08-17 12:00:00,118308.0,118356.62,118134.51,118162.6
2025-08-17 13:00:00,118162.61,118575.0,118059.12,118429.99
2025-08-17 14:00:00,118429.99,118473.66,118150.0,118150.01
2025-08-17 15:00:00,118150.01,118263.9,118137.25,118246.16
2025-08-17 16:00:00,118246.15,118316.01,117700.7,117834.56
2025-08-17 17:00:00,117834.55,117934.82,117645.04,117900.0
2025-08-17 18:00:00,117900.01,117947.98,117321.53,117542.01
2025-08-17 19:00:00,117542.01,117749.12,117468.0,117570.07
2025-08-17 20:00:00,117570.07,117749.32,117508.49,117599.44
2025-08-17 21:00:00,117599.44,117781.38,117599.43,117700.0
2025-08-17 22:00:00,117700.01,117995.37,117688.5,117954.99
2025-08-17 23:00:00,117955.0,117978.42,117371.65,117405.01
2025-08-18 00:00:00,117405.01,117543.75,117020.0,117290.19
2025-08-18 01:00:00,117290.2,117409.87,116166.03,116269.54
2025-08-18 02:00:00,116269.53,116339.61,115292.67,115453.24
2025-08-18 03:00:00,115452.0,115636.89,115000.0,115319.0
2025-08-18 04:00:00,115319.0,115533.89,115079.91,115469.51
2025-08-18 05:00:00,115469.52,115688.0,115000.0,115687.99
2025-08-18 06:00:00,115687.99,115712.49,114878.71,115245.56
2025-08-18 07:00:00,115245.56,115477.2,115186.56,115205.98
2025-08-18 08:00:00,115205.99,115402.51,115068.58,115135.43
2025-08-18 09:00:00,115135.43,115135.44,114640.14,115038.46
2025-08-18 10:00:00,115038.46,115261.69,114985.0,115058.58
2025-08-18 11:00:00,115058.58,115127.54,114860.62,114947.27
