time,open,high,low,close
2025-08-16 16:00:00,117676.7,117817.65,117629.94,117672.12
2025-08-16 20:00:00,117672.13,117713.51,117219.34,117380.66
2025-08-17 00:00:00,117380.66,117771.37,117172.21,117684.95
2025-08-17 04:00:00,117684.96,118230.82,117684.95,118005.98
2025-08-17 08:00:00,118005.98,118484.0,117922.0,118308.01
2025-08-17 12:00:00,118308.0,118575.0,118059.12,118246.16
2025-08-17 16:00:00,118246.15,118316.01,117321.53,117570.07
2025-08-17 20:00:00,117570.07,117995.37,117371.65,117405.01
2025-08-18 00:00:00,117405.01,117543.75,115000.0,115319.0
2025-08-18 04:00:00,115319.0,115712.49,114878.71,115205.98
2025-08-18 08:00:00,115205.99,115402.51,114640.14,114947.27
2025-08-18 12:00:00,114947.27,116186.97,114825.0,116145.34
2025-08-18 16:00:00,116145.34,116800.0,115818.86,116313.99
2025-08-18 20:00:00,116314.0,116980.0,115980.32,116227.05
2025-08-19 00:00:00,116227.05,116725.69,114787.23,114810.0
2025-08-19 04:00:00,114810.01,115483.24,114366.0,114978.14
2025-08-19 08:00:00,114978.15,115650.0,114804.0,115508.71
2025-08-19 12:00:00,115508.71,115875.84,113587.68,113786.38
2025-08-19 16:00:00,113786.39,113897.58,112767.06,113132.48
2025-08-19 20:00:00,113132.49,113589.48,112732.58,112872.94
2025-08-20 00:00:00,112872.95,113636.13,112566.01,113525.91
2025-08-20 04:00:00,113525.9,113837.93,113432.0,113490.13
2025-08-20 08:00:00,113490.14,114016.77,113060.08,113666.68
2025-08-20 12:00:00,113666.69,114326.35,112380.0,113353.94
2025-08-20 16:00:00,113353.94,114444.0,113264.01,114276.66
2025-08-20 20:00:00,114276.66,114615.38,114000.0,114271.24
2025-08-21 00:00:00,114271.23,114821.76,113906.01,113954.62
2025-08-21 04:00:00,113954.62,114033.84,113582.43,113896.03
2025-08-21 08:00:00,113896.03,113990.0,113000.0,113148.66
2025-08-21 12:00:00,113148.65,113995.11,112608.64,112792.08
2025-08-21 16:00:00,112792.08,112969.47,112015.67,112193.71
2025-08-21 20:00:00,112193.71,112870.94,112067.46,112500.0
2025-08-22 00:00:00,112500.0,113525.0,112335.6,112929.24
2025-08-22 04:00:00,112929.24,113394.76,112708.81,113094.83
2025-08-22 08:00:00,113094.83,113319.3,112177.27,112320.0
2025-08-22 12:00:00,112320.01,117296.12,111684.79,116370.75
2025-08-22 16:00:00,116370.75,117429.05,116116.0,116655.79
2025-08-22 20:00:00,116655.79,117174.43,116550.96,116935.99
2025-08-23 00:00:00,116936.0,117030.0,115458.2,115568.77
2025-08-23 04:00:00,115568.77,116034.53,115551.2,115799.47
2025-08-23 08:00:00,115799.46,115861.8,115223.43,115310.13
2025-08-23 12:00:00,115310.13,115486.97,114560.0,114812.87
2025-08-23 16:00:00,114812.88,115190.74,114684.11,115133.91
2025-08-23 20:00:00,115133.92,115454.12,115001.88,115438.05
2025-08-24 00:00:00,115438.06,115666.68,114934.21,115036.0
2025-08-24 04:00:00,115036.01,115283.21,114846.14,114888.19
2025-08-24 08:00:00,114888.19,115060.99,114600.0,114730.22
2025-08-24 12:00:00,114730.22,114869.41,114350.57,114400.0
2025-08-24 16:00:00,114400.01,114917.1,110680.0,112600.0
2025-08-24 20:00:00,112600.0,113692.97,111632.85,113493.59
2025-08-25 00:00:00,113493.59,113667.28,112159.0,112916.84
2025-08-25 04:00:00,112916.84,113059.52,111284.05,111511.55
2025-08-25 08:00:00,111511.56,111850.13,110929.48,111214.97
2025-08-25 12:00:00,111214.97,112580.0,110588.0,112200.64
2025-08-25 16:00:00,112200.65,112937.26,110655.01,110716.13
