date,open,high,low,close
2018-05-18,8.2671096500,8.3894720500,8.2288714000,8.3818244000
2018-05-21,8.4659485500,8.4965391500,8.3588814500,8.3741767500
2018-05-22,8.3741767500,8.3971197000,8.2518143500,8.3053479000
2018-05-23,8.2747573000,8.2747573000,8.1218043000,8.1447472500
2018-05-24,8.1523949000,8.1676902000,8.0912137000,8.1141566500
2018-05-25,8.1141566500,8.1600425500,8.0682707500,8.0988613500
2018-05-28,8.0912137000,8.1523949000,8.0376801500,8.0988613500
2018-05-29,8.0912137000,8.1294519500,7.9153177500,7.9382607000
2018-05-30,7.8694318500,7.8694318500,7.6858882500,7.7088312000
2018-05-31,7.7317741500,7.7929553500,7.6629453000,7.7853077000
2018-06-01,7.7623647500,7.8694318500,7.7011835500,7.7929553500
2018-06-04,7.8235459500,7.8847271500,7.7623647500,7.8541365500
2018-06-05,7.8694318500,7.8770795000,7.7317741500,7.8464889000
2018-06-06,7.8388412500,7.8464889000,7.7241265000,7.7547171000
2018-06-07,7.8006030000,7.9994419000,7.7853077000,7.9306130500
2018-06-08,7.9000224500,7.9000224500,7.6935359000,7.7394218000
2018-06-11,7.6935359000,7.7470694500,7.6476500000,7.6782406000
2018-06-12,7.6705929500,7.7088312000,7.6094117500,7.6935359000
2018-06-13,7.6782406000,7.6935359000,7.6094117500,7.6094117500
2018-06-14,7.6094117500,7.7623647500,7.5864688000,7.7011835500
2018-06-15,7.7088312000,7.8694318500,7.6935359000,7.7776600500
2018-06-19,7.6858882500,7.7623647500,7.5099923000,7.5482305500
2018-06-20,7.5482305500,7.6094117500,7.4641064000,7.5788211500
2018-06-21,7.5941164500,7.6782406000,7.5405829000,7.5405829000
2018-06-22,7.4946970000,7.5482305500,7.4717540500,7.5329352500
2018-06-25,7.5788211500,7.5864688000,7.1734957000,7.2346769000
2018-06-26,7.1811433500,7.2193816000,6.9517138500,7.1582004000
2018-06-27,7.1199621500,7.1887910000,6.9058279500,6.9517138500
2018-06-28,6.8446467500,6.9440662000,6.7834655500,6.8217038000
2018-06-29,6.8905326500,6.9823044500,6.8522944000,6.9517138500
2018-07-02,6.9211232500,6.9211232500,6.5387407500,6.5846266500
2018-07-03,6.6458078500,6.6534555000,6.4622642500,6.6305125500
2018-07-04,6.5999219500,6.6916937500,6.5846266500,6.5846266500
2018-07-05,6.5922743000,6.6763984500,6.5387407500,6.5769790000
2018-07-06,6.5846266500,6.7146367000,6.4622642500,6.6228649000
2018-07-09,6.6458078500,6.9058279500,6.6381602000,6.9058279500
2018-07-10,6.8981803000,6.8981803000,6.7987608500,6.8675897000
2018-07-11,6.6993414000,6.7528749500,6.6381602000,6.7146367000
2018-07-12,6.6835588000,6.9711072600,6.6680156400,6.9011630400
2018-07-13,6.9322493600,6.9477925200,6.8545335600,6.9011630400
2018-07-16,6.8778483000,6.9167062000,6.7535030200,6.7845893400
2018-07-17,6.7923609200,6.8001325000,6.7301882800,6.7768177600
2018-07-18,6.8001325000,6.8778483000,6.7535030200,6.7612746000
2018-07-19,6.8001325000,6.8467619800,6.7535030200,6.7845893400
2018-07-20,6.7845893400,7.1498536000,6.6913303800,7.0799093800
2018-07-23,7.0255083200,7.3441431000,6.9944220000,7.3208283600
2018-07-24,7.2975136200,7.4529452200,7.2508841400,7.3052852000
2018-07-25,7.3363715200,7.3596862600,7.2508841400,7.2897420400
2018-07-26,7.3052852000,7.3674578400,7.1576251800,7.1887115000
2018-07-27,7.2275694000,7.2741988800,7.1343104400,7.1887115000
2018-07-30,7.2431125600,7.3752294200,7.1964830800,7.2975136200
2018-07-31,7.2819704600,7.3752294200,7.1887115000,7.3208283600
2018-08-01,7.3208283600,7.3830010000,7.0799093800,7.1109957000
2018-08-02,7.0954525400,7.1109957000,6.9011630400,6.9477925200
2018-08-03,6.9400209400,7.0721378000,6.9244777800,6.9244777800
2018-08-06,6.9477925200,7.0799093800,6.9089346200,6.9477925200
2018-08-07,6.9633356800,7.1265388600,6.9011630400,7.1265388600
2018-08-08,7.1187672800,7.1187672800,7.0255083200,7.0332799000
2018-08-09,7.0255083200,7.2664273000,7.0099651600,7.2197978200
2018-08-10,7.2275694000,7.2431125600,7.1187672800,7.1731683400
2018-08-13,7.0876809600,7.1187672800,6.9167062000,7.0332799000
2018-08-14,7.0177367400,7.0255083200,6.9477925200,6.9944220000
2018-08-15,7.0099651600,7.0099651600,6.8001325000,6.8312188200
2018-08-16,6.7845893400,6.9089346200,6.7146451200,6.8234472400
2018-08-17,6.9011630400,6.9477925200,6.8234472400,6.8467619800
2018-08-20,6.9167062000,7.0099651600,6.8933914600,6.9944220000
2018-08-21,7.0099651600,7.1964830800,7.0021935800,7.1731683400
2018-08-22,7.1809399200,7.2586557200,7.0954525400,7.2197978200
2018-08-23,7.2275694000,7.3208283600,7.1731683400,7.2741988800
2018-08-24,7.2353409800,7.9891842400,7.2197978200,7.7948947400
2018-08-27,7.7871231600,8.1057579400,7.7482652600,8.1057579400
2018-08-28,8.0358137200,8.1057579400,7.9580979200,7.9969558200
2018-08-29,7.9658695000,8.0280421400,7.8881537000,7.9814126600
2018-08-30,7.9814126600,8.0435853000,7.8337526400,7.8648389600
