time,open,high,low,close
20240125140000000,7.9594933200,7.9930776800,7.9259089600,7.9510972300
20240125150000000,7.9510972300,8.0098698600,7.9510972300,7.9762855000
20240126103000000,7.9510972300,8.1106229400,7.9427011400,8.0098698600
20240126113000000,8.0098698600,8.0182659500,7.9343050500,7.9427011400
20240126140000000,7.9427011400,8.0854346700,7.9259089600,8.0518503100
20240126150000000,8.0518503100,8.0938307600,7.9930776800,8.0770385800
20240129103000000,8.1358112100,8.1777916600,8.0434542200,8.0686424900
20240129113000000,8.0686424900,8.2449603800,8.0602464000,8.2449603800
20240129140000000,8.2533564700,8.2953369200,8.1693955700,8.2029799300
20240129150000000,8.2029799300,8.2365642900,8.1442073000,8.1442073000
20240130103000000,8.0686424900,8.1190190300,8.0182659500,8.0602464000
20240130113000000,8.0602464000,8.1022268500,8.0266620400,8.0770385800
20240130140000000,8.0686424900,8.1442073000,8.0602464000,8.0938307600
20240130150000000,8.0938307600,8.0938307600,7.9678894100,7.9762855000
20240131103000000,7.9427011400,8.0098698600,7.8839285100,7.8839285100
20240131113000000,7.8839285100,8.0266620400,7.8839285100,7.9930776800
20240131140000000,7.9930776800,8.0182659500,7.9427011400,7.9930776800
20240131150000000,7.9930776800,8.0014737700,7.9343050500,7.9427011400
20240201103000000,7.9007206900,7.9343050500,7.8419480600,7.9007206900
20240201113000000,7.9007206900,7.9510972300,7.8839285100,7.9343050500
20240201140000000,7.9343050500,7.9594933200,7.9091167800,7.9259089600
20240201150000000,7.9091167800,7.9427011400,7.8923246000,7.9007206900
20240202103000000,7.9091167800,7.9510972300,7.8923246000,7.9007206900
20240202113000000,7.9007206900,7.9175128700,7.8587402400,7.8671363300
20240202140000000,7.8671363300,7.8671363300,7.7327988900,7.7411949800
20240202150000000,7.7411949800,7.8335519700,7.6152536300,7.7831754300
20240205103000000,7.7160067100,7.8083637000,7.6740262600,7.7076106200
20240205113000000,7.7076106200,7.8083637000,7.6572340800,7.7999676100
20240205140000000,7.7915715200,7.9091167800,7.7747793400,7.8923246000
20240205150000000,7.8923246000,7.9175128700,7.8335519700,7.8755324200
20240206103000000,7.8083637000,7.9930776800,7.8083637000,7.9175128700
20240206113000000,7.9175128700,7.9930776800,7.9175128700,7.9510972300
20240206140000000,7.9594933200,8.1022268500,7.9594933200,8.0518503100
20240206150000000,8.0518503100,8.1274151200,8.0350581300,8.1274151200
20240207103000000,8.0770385800,8.1106229400,8.0350581300,8.0434542200
20240207113000000,8.0434542200,8.0686424900,7.9762855000,7.9846815900
20240207140000000,7.9930776800,8.0686424900,7.9594933200,8.0434542200
20240207150000000,8.0434542200,8.0854346700,8.0098698600,8.0686424900
20240208103000000,8.0434542200,8.1106229400,7.9930776800,8.0434542200
20240208113000000,8.0434542200,8.0854346700,8.0098698600,8.0770385800
20240208140000000,8.0770385800,8.0938307600,8.0518503100,8.0938307600
20240208150000000,8.0938307600,8.1190190300,8.0770385800,8.1190190300
20240219103000000,8.1945838400,8.2113760200,8.1022268500,8.1777916600
20240219113000000,8.1777916600,8.2365642900,8.1609994800,8.2113760200
20240219140000000,8.2113760200,8.2197721100,8.1693955700,8.2029799300
20240219150000000,8.2029799300,8.2365642900,8.1861877500,8.2365642900
20240220103000000,8.2197721100,8.2365642900,8.1693955700,8.2281682000
20240220113000000,8.2281682000,8.2365642900,8.1861877500,8.2281682000
20240220140000000,8.2281682000,8.2281682000,8.1693955700,8.2029799300
20240220150000000,8.2029799300,8.2617525600,8.2029799300,8.2449603800
20240221103000000,8.2113760200,8.5724078900,8.2113760200,8.5640118000
20240221113000000,8.5640118000,9.0677772000,8.5640118000,9.0677772000
20240221140000000,9.0677772000,9.0677772000,9.0677772000,9.0677772000
20240221150000000,9.0677772000,9.0677772000,9.0677772000,9.0677772000
20240222103000000,8.9418358500,9.1097576500,8.9418358500,8.9670241200
20240222113000000,8.9670241200,9.0845693800,8.9418358500,9.0425889300
20240222140000000,9.0341928400,9.1517381000,9.0174006600,9.1013615600
20240222150000000,9.1013615600,9.1517381000,9.0677772000,9.1517381000
20240223103000000,9.1349459200,9.4372051600,9.1181537400,9.1853224600
20240223113000000,9.1853224600,9.2189068200,9.1433420100,9.1853224600
20240223140000000,9.1853224600,9.1937185500,9.1181537400,9.1265498300
20240223150000000,9.1265498300,9.1517381000,9.1013615600,9.1097576500
20240226103000000,9.0509850200,9.1265498300,8.9334397600,8.9586280300
20240226113000000,8.9586280300,8.9670241200,8.8578749500,8.8746671300
20240226140000000,8.8662710400,8.9334397600,8.8578749500,8.8914593100
20240226150000000,8.8914593100,8.8914593100,8.8158945000,8.8410827700
20240227103000000,8.8074984100,8.8998554000,8.7907062300,8.8242905900
20240227113000000,8.8242905900,8.8410827700,8.7823101400,8.8074984100
20240227140000000,8.8158945000,8.8578749500,8.7991023200,8.8158945000
20240227150000000,8.8158945000,8.8410827700,8.7991023200,8.8158945000
20240228103000000,8.8242905900,8.9586280300,8.7403296900,8.9418358500
20240228113000000,8.9418358500,8.9838163000,8.8158945000,8.8578749500
20240228140000000,8.8746671300,8.9334397600,8.8410827700,8.8746671300
20240228150000000,8.8746671300,8.8830632200,8.7907062300,8.8074984100
20240229103000000,8.7487257800,8.8494788600,8.7487257800,8.8410827700
20240229113000000,8.8410827700,8.8494788600,8.7907062300,8.7991023200
20240229140000000,8.7991023200,8.8242905900,8.7739140500,8.8074984100
20240229150000000,8.8074984100,8.8914593100,8.7823101400,8.8914593100
20240301103000000,8.8914593100,8.8914593100,8.7907062300,8.7991023200
20240301113000000,8.7991023200,8.8410827700,8.7571218700,8.7991023200
20240301140000000,8.7991023200,8.7991023200,8.7655179600,8.7739140500
20240301150000000,8.7739140500,8.8242905900,8.7739140500,8.8074984100
20240304103000000,8.7739140500,8.8074984100,8.6815570600,8.6899531500
20240304113000000,8.6899531500,8.7571218700,8.6731609700,8.7403296900
20240304140000000,8.7403296900,8.7403296900,8.6647648800,8.6815570600
20240304150000000,8.6815570600,8.6983492400,8.6647648800,8.6731609700
20240305103000000,8.6479727000,8.7907062300,8.6227844300,8.7235375100
20240305113000000,8.7235375100,8.7403296900,8.6815570600,8.7067453300
20240305140000000,8.7067453300,8.7403296900,8.6899531500,8.7067453300
20240305150000000,8.7067453300,8.7739140500,8.7067453300,8.7571218700
20240306103000000,8.7319336000,8.7739140500,8.6899531500,8.7235375100
20240306113000000,8.7235375100,8.7403296900,8.6983492400,8.7403296900
20240306140000000,8.7403296900,8.7655179600,8.7067453300,8.7235375100
20240306150000000,8.7235375100,8.7235375100,8.6731609700,8.6731609700
20240307103000000,8.6731609700,8.8326866800,8.6731609700,8.8074984100
20240307113000000,8.8074984100,8.9334397600,8.7823101400,8.7991023200
20240307140000000,8.7907062300,8.7991023200,8.7235375100,8.7235375100
20240307150000000,8.7235375100,8.7487257800,8.7151414200,8.7151414200
20240308103000000,8.6899531500,8.7655179600,8.6899531500,8.6983492400
20240308113000000,8.6983492400,8.7067453300,8.6479727000,8.6983492400
20240308140000000,8.7067453300,8.7235375100,8.6731609700,8.7067453300
20240308150000000,8.7067453300,8.7151414200,8.6899531500,8.7151414200
20240311103000000,8.7151414200,8.7823101400,8.6815570600,8.7067453300
20240311113000000,8.7067453300,8.7571218700,8.6899531500,8.7571218700
20240311140000000,8.7571218700,8.7739140500,8.7151414200,8.7319336000
20240311150000000,8.7319336000,8.7907062300,8.7235375100,8.7907062300
20240312103000000,8.7991023200,8.8074984100,8.7403296900,8.7571218700
